"precinct","felonies","index_felony"
1,4839,0.375596731127114
5,3209,0.243709037948054
6,4542,0.351565660652156
7,3764,0.288615583785096
9,4145,0.319443320657011
10,3228,0.24524637915689
13,5822,0.455133910510559
14,6662,0.523100574480136
17,3398,0.259001537341209
18,5235,0.407638158427057
19,6996,0.550125414677563
20,3440,0.262399870539688
22,197,0
23,5317,0.414272999433611
24,4166,0.32114248725625
25,5899,0.461364188041104
26,2770,0.20818836475443
28,4128,0.318067804838579
30,3665,0.28060522696011
32,5200,0.404806214094992
33,3744,0.286997329881058
34,4914,0.381665183267255
40,10490,0.832834371712922
41,4810,0.373250262966259
42,7761,0.612023626506999
43,9221,0.73015616150174
44,9413,0.7456913989805
45,4936,0.383445262561696
46,8659,0.684683226798285
47,8823,0.697952908811392
48,7239,0.569787199611619
49,5451,0.425115300590663
50,4138,0.318876931790598
52,8151,0.643579577635731
60,4990,0.387814548102597
61,4515,0.349381017881706
62,4816,0.373735739137471
63,3704,0.283760822072983
66,3773,0.289343798041913
67,7140,0.561776842786633
68,4059,0.31248482886965
69,3556,0.271785743183105
70,6068,0.475038433530221
71,4861,0.377376810421555
72,4750,0.368395501254147
73,7558,0.595598349381018
75,12556,1
76,1967,0.143215470507323
77,5293,0.412331094748766
78,3146,0.238611538150336
79,7070,0.556112954122502
81,4679,0.362650699894814
83,6018,0.470992798770127
84,3902,0.299781535722955
88,3656,0.279877012703293
90,5256,0.409337325026297
94,3396,0.258839711950805
100,2552,0.190549397200421
101,4333,0.334654907354964
102,4828,0.374706691479893
103,6683,0.524799741079375
104,6211,0.486608948944089
105,6961,0.547293470345497
106,5251,0.408932761550287
107,4733,0.367019985435715
108,4315,0.33319847884133
109,7475,0.588882595679262
110,6105,0.47803220325269
111,2418,0.179707096043369
112,3013,0.227850149688486
113,6586,0.516951209644793
114,8670,0.685573266445505
115,7032,0.55303827170483
120,5739,0.448418156808803
121,4793,0.371874747147827
122,4149,0.319766971437819
123,1944,0.141354478517679
