id,name,latitude,longitude,district
3821,Evergreen Ave & Noll St,40.70106,-73.93318000000001,83
482,W 15 St & 7 Ave,40.73935542,-73.99931783,10
3390,E 109 St & 3 Ave,40.79329668,-73.9432083,23
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,20
387,Centre St & Chambers St,40.71273266,-74.0046073,1
503,E 20 St & Park Ave,40.73827428,-73.98751968,13
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,90
3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,24
3897,Onderdonk Ave & Dekalb Ave,40.70863,-73.91497,104
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,20
4044,8 Ave & W 38 St,40.75461,-73.99176999999999,14
3861,Menahan St & Wyckoff Ave,40.70113,-73.91422,83
3571,Bedford Ave & Bergen St,40.676368,-73.95291800000001,77
4225,Clinton St & Tillary St,40.6962329712932,-73.9914205670357,84
3997,5 Av & W 139 St,40.815484000000005,-73.935856,32
3259,9 Ave & W 28 St,40.749370241932795,-73.9992338418961,10
3786,Division St & Bowery,40.714193,-73.996732,5
3112,Milton St & Franklin St,40.72906,-73.95779,94
3749,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,17
472,E 32 St & Park Ave,40.745712100000006,-73.98194829,14
3621,27 Ave & 9 St,40.7739825,-73.93091340000001,114
3151,E 81 St & York Ave,40.7728384,-73.94989233,19
3551,3 Ave & E 112 St,40.795508,-73.94160600000001,23
3290,E 89 St & York Ave,40.7779453,-73.94604100000001,19
4117,Sullivan Pl & Franklin Ave,40.6640798367816,-73.96025128666679,71
3140,1 Ave & E 78 St,40.77140426,-73.9535166,19
326,E 11 St & 1 Ave,40.72953837,-73.98426726,9
426,West St & Chambers St,40.71754834,-74.01322069,1
3315,Henry St & Degraw St,40.684751399999996,-73.99917254,76
3809,W 55 St & 6 Ave,40.763189000000004,-73.978434,18
3724,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,18
526,E 33 St & 5 Ave,40.74765947,-73.98490707,14
3402,Court St & State St,40.6902375,-73.99203074,84
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,26
3758,George St & Wilson Ave,40.702996999999996,-73.92997,83
4230,Charlotte St & Boston Rd,40.8358771,-73.89314279999999,42
143,Clinton St & Joralemon St,40.69239502,-73.99337909,84
3766,Sharon St & Olive St,40.715353,-73.93856,90
4214,Spring St & Hudson St,40.725839967923704,-74.00765329599379,1
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,88
3718,E 11 St & Avenue B,40.7274642069239,-73.9795041829348,9
3838,Bushwick Ave & Harman St,40.69356,-73.92524,83
3163,Central Park West & W 68 St,40.7734066,-73.97782542,22
3898,E 63 St & 3 Ave,40.763954,-73.9646,19
4068,Fort Washington Ave & W 183 St,40.852252,-73.937854,34
3502,Lexington Ave & E 111 St,40.79541210000001,-73.9441232,23
442,W 27 St & 7 Ave,40.746646999999996,-73.993915,10
3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,5
291,Madison St & Montgomery St,40.713126,-73.984844,7
4122,Central Park W & W 97 St,40.7924951949511,-73.9641706646307,24
3150,E 85 St & York Ave,40.77536905,-73.94803392,19
4280,W 10 St & Washington St,40.733423994370796,-74.0085149556398,6
3260,Mercer St & Bleecker St,40.7270636334831,-73.99662137031551,6
3721,31 St & Newtown Ave,40.7675487799971,-73.92093345522879,114
4279,E 54 St & 1 Ave,40.756265,-73.964179,17
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,20
3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,24
3106,Driggs Ave & N Henry St,40.72325,-73.94308000000001,94
3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,14
3783,Cliff St & Fulton St,40.70838,-74.00495,1
3096,Union Ave & N 12 St,40.71924,-73.95241999999999,94
3143,5 Ave & E 78 St,40.77632142182271,-73.9642739295959,22
529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,14
281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,18
439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,9
3165,Central Park West & W 72 St,40.775793766836706,-73.97620573639871,22
3687,E 33 St & 1 Ave,40.7432268143217,-73.9744978398085,17
473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,5
505,6 Ave & W 33 St,40.74901271,-73.98848395,14
307,Canal St & Rutgers St,40.71427487,-73.98990025,7
3289,W 90 St & Amsterdam Ave,40.7901794809508,-73.9728891849518,24
3768,Waterbury St & Stagg St,40.710190000000004,-73.93734,90
3707,Lexington Ave & E 26 St,40.741459000000006,-73.983293,13
3906,West St & Liberty St,40.711444,-74.014847,1
3312,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,19
3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,78
285,Broadway & E 14 St,40.73454567,-73.99074142,9
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,88
368,Carmine St & 6 Ave,40.73038599,-74.00214988,6
476,E 31 St & 3 Ave,40.74394314,-73.97966069,17
3656,E 2 St & Avenue A,40.723077490686705,-73.98583620786671,9
128,MacDougal St & Prince St,40.72710258,-74.00297088,1
448,W 37 St & 10 Ave,40.75660359,-73.9979009,10
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,94
331,Pike St & Monroe St,40.71173107,-73.99193043,7
495,W 47 St & 10 Ave,40.76269882,-73.99301222,18
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,88
3329,Degraw St & Smith St,40.6829151,-73.99318208,76
492,W 33 St & 7 Ave,40.75019995,-73.99093085,14
4177,Prospect Ave & Jennings St,40.831762,-73.89685300000001,42
3863,Central Ave & Woodbine St,40.69296,-73.91605,83
3368,5 Ave & 3 St,40.672815500000006,-73.98352355,78
4043,W 78 St & Amsterdam Ave,40.782535857724106,-73.9790850877762,20
3314,W 95 St & Broadway,40.7937704,-73.971888,24
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836,1
486,Broadway & W 29 St,40.7462009,-73.98855723,14
519,Pershing Square North,40.751872999999996,-73.97770600000001,14
350,Clinton St & Grand St,40.71559509,-73.9870295,7
3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,26
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,108
3132,E 59 St & Madison Ave,40.76350532,-73.97109243,19
3799,6 Ave & W 34 St,40.74964,-73.98805,14
3117,Franklin St & Dupont St,40.735640000000004,-73.95866,94
3282,5 Ave & E 88 St,40.78307,-73.95939,22
4006,E 147 St & Bergen Ave,40.814673,-73.91839,40
3635,W 36 St & 9 Ave,40.7546232402911,-73.9951676130295,14
4088,Nelson Ave & W 172 St,40.843965000000004,-73.920999,44
3325,E 95 St & 3 Ave,40.7849032,-73.950503,19
334,W 20 St & 7 Ave,40.74238787,-73.99726235,10
462,W 22 St & 10 Ave,40.74691959,-74.00451887,10
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,6
3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,28
3177,W 84 St & Broadway,40.7867947,-73.977112,20
4120,E 39 St & Lexington Ave,40.74949854602521,-73.9772920311316,17
4099,E 169 St & Webster Ave,40.834015,-73.908863,44
4084,Sheridan Ave & E 168 St,40.835334,-73.9154,44
313,Washington Ave & Park Ave,40.69610226,-73.96751037,88
3160,Central Park West & W 76 St,40.77896784,-73.97374737,22
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,90
3095,Graham Ave & Herbert St,40.71929301,-73.94500379,94
3331,Riverside Dr & W 104 St,40.8013434,-73.97114574390001,24
3147,E 85 St & 3 Ave,40.77801203,-73.95407149,19
146,Hudson St & Reade St,40.71625008,-74.0091059,1
4220,Frederick Douglass Blvd & W 145 St,40.823060999999996,-73.941928,32
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,94
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,84
116,W 17 St & 8 Ave,40.74177603,-74.00149746,10
3124,46 Ave & 5 St,40.74731,-73.95451,108
3959,Edgecombe Ave & W 145 St,40.823498,-73.94386,30
401,Allen St & Rivington St,40.72019576,-73.98997825,5
4328,W 167 St & St. Nicholas Ave,40.840123999999996,-73.93949,33
385,E 55 St & 2 Ave,40.75797322,-73.96603308,17
3592,Crescent St & Broadway,40.7633589,-73.92864709999999,114
164,E 47 St & 2 Ave,40.75323098,-73.97032517,17
3457,E 58 St & Madison Ave,40.76302594280521,-73.9720952510834,18
293,Lafayette St & E 8 St,40.7302066052995,-73.9910262823105,9
311,Norfolk St & Broome St,40.7172274,-73.98802084,7
3605,31 Ave & Crescent St,40.765834600000005,-73.9265474,114
3369,E 82 St & East End Ave,40.7724607,-73.9468208,19
3866,Wilson Ave & Moffat St,40.68906,-73.90505999999999,83
3831,Broadway & Hancock St,40.68663,-73.9168,83
383,Greenwich Ave & Charles St,40.735238,-74.000271,6
3408,Congress St & Clinton St,40.6881529,-73.99520919,76
432,E 7 St & Avenue A,40.72621788,-73.98379855,9
546,E 30 St & Park Ave S,40.74444921,-73.98303529,14
3558,Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,77
3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,22
3499,2 Ave & E 122 St,40.8006721,-73.9349,25
464,E 56 St & 3 Ave,40.75934501,-73.96759673,17
3503,Madison Ave & E 120 St,40.80295,-73.942954,25
418,Front St & Gold St,40.70224,-73.982578,84
3629,Adam Clayton Powell Blvd & W 126 St,40.809495347779496,-73.9477649331093,28
3540,Morningside Ave & W 123 St,40.81,-73.9551508,26
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,94
4020,Bradhurst Ave & W 148 St,40.825125,-73.941616,30
3306,10 St & 7 Ave,40.666207799999995,-73.98199886,78
434,9 Ave & W 18 St,40.74317449,-74.00366443,10
328,Watts St & Greenwich St,40.72405549,-74.00965965,1
4013,Convent Ave & W 151 St,40.828309999999995,-73.942924,30
3894,8 Ave & W 16 St,40.740983,-74.00170200000001,10
4204,E 167 St & Bryant Ave,40.826706,-73.888719,41
3307,West End Ave & W 94 St,40.7941654,-73.974124,24
4028,Frederick Douglass Blvd & Harlem River Dr,40.830702,-73.936371,32
3836,Bushwick Ave & Linden St,40.69146,-73.92146,83
3693,N 11 St & Kent Ave,40.722481886382205,-73.95921930670741,94
3892,38 Ave & 29 St,40.75473,-73.93366999999999,114
3674,Jay St & York St,40.7014031725772,-73.9867267012596,84
3573,35 St & 34 Ave,40.7580583,-73.92427509999999,114
4032,E 155 St & Courtlandt Ave,40.820570000000004,-73.917579,40
423,W 54 St & 9 Ave,40.76584941,-73.98690506,18
3905,4 Ave & E 12 St,40.732647,-73.99011,9
3166,Riverside Dr & W 72 St,40.780577990103296,-73.9856243133545,20
4063,Wadsworth Ave & W 175 St,40.846052,-73.937648,33
3820,Willoughby Ave & Myrtle Ave,40.69757,-73.93098,83
489,10 Ave & W 28 St,40.75066386,-74.00176802,10
3890,Grove St & Broadway,40.69047,-73.923511,83
3622,E 128 St & Madison Ave,40.807559999999995,-73.93918199999999,25
3287,W 87 St & West End Ave,40.789621999999994,-73.97757,24
3161,W 76 St & Columbus Ave,40.7801839724239,-73.9772853255272,20
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,88
